osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/4902775821,node,farmacia eduina encarnacion,,,,,,,,18.4921985,-69.9348171
node/4920768922,node,Farmacia centro,Prof. Simón Orozco,,,,,,,18.5103117,-69.8281292
node/4921228324,node,Farmacia centro,Prof. Simón Orozco,,,,,,,18.5102361,-69.828162
node/5005470325,node,Farmacia Carol,,,,,,,,19.7675279,-70.5074047
node/5072019822,node,Farmacia Martínez Sosa,Dr. Alejo Martinez,,,,,,,19.7687284,-70.5144807
node/5073190926,node,Farmacia San Martín,,,,,,,,18.6071018,-68.7160129
node/5093311327,node,Kayey,,,,,,,,18.4710176,-69.8498746
node/5131174521,node,Farmacia Wilmert,Carretera Mao - Guayubín,,+18097553627,,,,,19.5783978,-71.1628265
node/5177348921,node,Botica Hoya Del Caimito,Calle 25,,,,,Mo-Fr 08:00-17:00; Sa 08:00-12:00,,19.4635288,-70.6658988
node/5232687328,node,Farmacia sin nombre,,,,,,,,19.808394,-70.7132969
node/5338903422,node,Maxim,,,+8095926137,,,,,18.5064116,-69.8275555
node/5401768700,node,Farmacia Sainagua,,,,,,,,18.3884773,-70.1133348
node/5431366258,node,Referencia,,,+18092215545,,,,,18.4732321,-69.9293625
node/5432011277,node,Farmacia Leandro,"Calle Hermanas Mirabal, Santo Domingo Oeste",Santo Domingo Oeste,,,,,,18.4481988,-69.9856717
node/5446754221,node,Farmacia Enriquillo,Avenida Isabel Aguiar,,,,,,,18.4768421,-69.9720256
node/5515198922,node,Farmacia Amistad,,,+18095223267,,,,,18.2834143,-70.3322512
node/5548759921,node,Farmacia Dr. Chelin,Calle Manuel Ramón Roca,,+18097332149,,,,,19.5507617,-71.7060564
node/5574322021,node,Farmacia La Nueva,María Trinidad Sánchez,,,,,,,19.058199,-70.1526449
node/5690115307,node,Farmacia Carxol,,,,,,,,19.2030248,-69.3378288
node/5744375318,node,Farmacia Asilis Javier,,,,,,,,18.4476481,-69.9840244
node/5755210762,node,Farmacia sin nombre,,,,,,,,18.4880559,-69.9388362
node/5756721428,node,Carol,,,,,,24/7,,18.4735095,-69.9308343
node/5790934253,node,Farmacia Karen Paola,Calle Francisco Del Rosario Sanchez,,+18092361412,,,Mo-Su 08:00-21:00,,18.5205481,-69.8047889
node/6007691185,node,Enriquillo union trabajo,,,,,,,,18.4772618,-69.9720884
node/6008358986,node,MELIDA,,,,,,,,18.8082321,-71.2250289
node/6008358987,node,ENRIQUILLO,,,,,,,,18.8135688,-71.232085
node/6008358988,node,ISAMAL,,,,,,,,18.8129281,-71.2330955
node/6008358989,node,EL CARMEN,,,,,,,,18.8065075,-71.2333971
node/6008358990,node,SAN RAMON,,,,,,,,18.8074303,-71.2303815
node/6008358991,node,YANY,,,,,,,,18.8074538,-71.229874
node/6008358992,node,ERIDANIA,,,,,,,,18.8215942,-71.2353462
node/6008358993,node,ROSA AURA 2,,,,,,,,18.4509594,-70.7389743
node/6008358994,node,Super Farmacia Peguero Castro,Azua,Azua,,,,,,18.4501178,-70.7311065
node/6008358995,node,NURYS,,,,,,,,18.2052991,-71.1011113
node/6008358996,node,DOTEL,,,,,,,,18.2078464,-71.0991544
node/6008358998,node,BUENAVENTURA,,,,,,,,18.5822455,-69.9195108
node/6008358999,node,shaia,,,,,,,,18.5312806,-69.8002896
node/6008359000,node,MARCHI,,,,,,,,18.5529825,-69.9075725
node/6008398087,node,ENMANUEL,,,,,,,,18.475479,-69.9861582
node/6008398088,node,MARIANNY,,,,,,,,18.4687295,-69.9898569
node/6008398090,node,POSIBLE CAROLINA,,,,,,,,18.5087139,-69.8655116
node/6008398091,node,euridice,,,,,,,,18.5112553,-69.8436399
node/6008398092,node,Patricia2,,,,,,,,18.495149,-69.9081743
node/6008398093,node,virgen maria,,,,,,,,18.4687342,-69.8877704
node/6008398094,node,Josefina,,,,,,,,18.4717226,-69.8893257
node/6008398096,node,RADONAEL,,,,,,,,18.426318,-68.9815604
node/6008398098,node,bella vista,,,,,,,,18.6201954,-68.7229339
node/6008398099,node,feliu,,,,,,,,18.6237318,-68.7158111
node/6008398100,node,BERARCA,,,,,,,,18.6092994,-68.7216805
node/6008398101,node,COOPERATIVA SAN JOSE,,,,,,,,18.7694096,-70.0245515
node/6008398102,node,DILONE II,,,,,,,,18.7750912,-70.0266358
node/6008398103,node,GALENO,,,,,,,,18.7761592,-70.0271233
node/6008398104,node,DIMAR,,,,,,,,18.7168342,-69.9703585
node/6008398105,node,farmacia popular,,,,,,,,18.5156713,-69.8389869
node/6008398106,node,Mauricio baez,Calle Mauricio Báez,,,,,,,18.4883717,-69.9134735
node/6008398107,node,Farmacia sin nombre,,,,,,,,18.486343,-69.9088357
node/6008398108,node,Farmacia Ramsés,,,,,,,,18.500411,-69.9048357
node/6008398109,node,Yuclenia,,,,,,,,18.6726041,-70.1739749
node/6008398110,node,Silibe,,,,,,,,18.6864435,-70.1754318
node/6008398111,node,Anjura,,,,,,,,18.6732657,-70.1675955
node/6008398113,node,Farmatex 360,,,,,,,,18.547386,-69.9008131
node/6008398114,node,Del barrio,,,,,,,,18.5341192,-69.9385542
node/6008398115,node,Habana,,,,,,,,18.476124,-69.9028512
node/6008398116,node,Villa,,,,,,,,18.5380684,-69.940926
node/6008398117,node,Espinal,,,,,,,,18.5043969,-69.8671901
